Name,G,Snaps,Snap%,Per Game,RushPerc,TargetP,TouchPerc,FP,FPPerSnap,Year,Pos_FB,Pos_RB,Pos_TE,Pos_WR,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GB,Team_HOU,Team_IND,Team_JAX,Team_KC,Team_LAC,Team_LAR,Team_LV,Team_MIA,Team_MIN,Team_NE,Team_NO,Team_NYG,Team_NYJ,Team_OAK,Team_PHI,Team_PIT,Team_SD,Team_SEA,Team_SF,Team_TB,Team_TEN,Team_WAS
Seth Roberts,15,0.8338439890371867,0.7454168601644426,0.6580331276407188,-0.5192726968758629,0.3380015644837187,-0.36120403142767454,0.24957396699410303,-0.1337723458054731,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tre'Quan Smith,15,0.8269138440687088,0.6850425148742088,0.6503556769290569,-0.5511228920379261,-0.18499794537141515,-0.6015447426810469,0.44093528608802024,0.0186488341572943,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Vance McDonald,15,0.809588481647514,0.5850359306511222,0.6322588288229973,-0.5511228920379261,0.5615301221204332,-0.3019813202815087,0.6234372848535152,0.1710700141200616,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jesse James,16,0.806123409163275,0.42947013297076525,0.5000969987151063,-0.5511228920379261,-0.29962797492870485,-0.6475429649304961,0.11491229800208726,-0.20998293578685676,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ryan Grant,14,0.7922631192263191,0.6520773815562283,0.76003354423851,-0.5511228920379261,0.03996348763476572,-0.5112732315165026,-0.14909544778489098,-0.4386147057310078,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhett Ellison,14,0.7887980467420801,0.8772773934363643,0.756194818882679,-0.5511228920379261,-0.3941977493134688,-0.6854914982862917,-0.22351373854363646,-0.5148252957123916,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jeff Heuerman,11,0.7784028292893632,1.409905053113396,1.336939126286233,-0.5511228920379261,-0.02738165473014201,-0.5382971870880541,-0.1366923993251,-0.4386147057310078,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Herndon IV,14,0.7576123943839294,0.8761662091672189,0.7205495120071069,-0.5511228920379261,0.16892227088671632,-0.4595252314858724,0.4675132470732865,0.09485942413867805,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kenyan Drake,16,0.7437521044469735,0.7568990976122786,0.4381290036852656,0.7721625748840213,0.6260095137464088,0.9899937471498966,1.8672858589639765,1.1618076838780498,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laquon Treadwell,15,0.7368219594784956,0.5942957995606674,0.5554843217063803,-0.5511228920379261,0.10587575463020711,-0.4848242537230694,-0.20579509788679226,-0.4386147057310078,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
